列1,Sentence_ID,Frame,Lexical_Unit,Sentence,L1,key,R1,x1_past,x2_clause,y
1,863806,Reasoning,argue.v,In a ( faxed ) interview with a magazine in Brazil he argues : ` Its first victim seems to be the totalitarian world . ,In a ( faxed ) interview with a magazine in Brazil he ,argues,: ` Its first victim seems to be the totalitarian world . ,0,1,0
2,863809,Reasoning,argue.v,"In a similar vein Gibson ( this volume ) argues , ` The most basic issue is whether we are to define aggression without reference to native concepts . ",In a similar vein Gibson ( this volume ) ,argues,", ` The most basic issue is whether we are to define aggression without reference to native concepts . ",0,1,0
3,863810,Reasoning,argue.v,"` There 's very little art in it , it 's just a chemical process , "" he argues . ","` There 's very little art in it , it 's just a chemical process , "" he ",argues,. ,0,1,0
4,863821,Reasoning,argue.v,"` I do n't know if officials say one thing publicly and another in private , "" he argued . ","` I do n't know if officials say one thing publicly and another in private , "" he ",argued,. ,1,1,0
5,863825,Reasoning,argue.v,"` But it 's worth it "" , argues Peter . ","` But it 's worth it "" , ",argues,Peter . ,0,1,0
6,863830,Reasoning,argue.v,"` It makes the system more flexible , "" argues a Japanese businessman . ","` It makes the system more flexible , "" ",argues,a Japanese businessman . ,0,1,0
7,863837,Reasoning,argue.v,"` But at the moment you 're drinking somebody else into house and home , "" argued Werewolf . ","` But at the moment you 're drinking somebody else into house and home , "" ",argued,Werewolf . ,1,1,0
8,863838,Reasoning,argue.v,"` It 's a question of time and place , though , "" argues Dunphy . ","` It 's a question of time and place , though , "" ",argues,Dunphy . ,0,1,0
9,863842,Reasoning,argue.v,"Businessmen argued that there would , at worst , be 13 years in which to make money and get out . ",Businessmen ,argued,"that there would , at worst , be 13 years in which to make money and get out . ",1,1,0
10,863845,Reasoning,argue.v,"` News is news , and newspaper people would argue that they have every right to report it . ","` News is news , and newspaper people would ",argue,that they have every right to report it . ,0,1,0
11,863895,Reasoning,argue.v,You can argue these wars were corrective . ,You can ,argue,these wars were corrective . ,0,1,0
12,863898,Reasoning,argue.v,"Like Lakatos , Kuhn does not argue that science is superior to other fields of enquiry , but assumes it . ","Like Lakatos , Kuhn does not ",argue,"that science is superior to other fields of enquiry , but assumes it . ",0,1,0
13,863905,Reasoning,argue.v,Towards the end I argued we should remove a section to recover what dating evidence was available below it . ,Towards the end I ,argued,we should remove a section to recover what dating evidence was available below it . ,1,1,0
14,863908,Reasoning,argue.v,` People may argue it is wrong to have a go at fans and there could be a backlash . ,` People may ,argue,it is wrong to have a go at fans and there could be a backlash . ,0,1,0
15,863912,Reasoning,argue.v,"However persuasively we argue to include software in the existing fold of custodial protection , the need for the special provision of resources can not be evaded . ",However persuasively we ,argue,"to include software in the existing fold of custodial protection , the need for the special provision of resources can not be evaded . ",0,0,0
16,863915,Reasoning,argue.v,They argue the initial expense of ploughing in will be repaid by greater yields in the future . ,They ,argue,the initial expense of ploughing in will be repaid by greater yields in the future . ,0,1,0
17,863921,Reasoning,argue.v,Michael Fallon ( Con ) and Peter Bergg ( Lib Dem ) yesterday met the young men who will be arguing their policies at the school hustings . ,Michael Fallon ( Con ) and Peter Bergg ( Lib Dem ) yesterday met the young men who will be ,arguing,their policies at the school hustings . ,0,0,0
18,863927,Reasoning,argue.v,"Adrian Gozzard , ex-Plessey , spoke for many executives responsible for recruitment in Britain 's largest companies when he argued his preference for broad-based search firms , rather than those specialising by functional discipline . ","Adrian Gozzard , ex-Plessey , spoke for many executives responsible for recruitment in Britain 's largest companies when he ",argued,"his preference for broad-based search firms , rather than those specialising by functional discipline . ",1,0,0
19,863928,Reasoning,argue.v,"Editor , -- In her review of methods of assessing students Stella Lowry argues the need for methods of assessment that match learning objectives . ","Editor , -- In her review of methods of assessing students Stella Lowry ",argues,the need for methods of assessment that match learning objectives . ,0,0,0
20,863929,Reasoning,argue.v,"Zuwaya did not sociologize about statelessness , nor did they argue its value from first principles . ","Zuwaya did not sociologize about statelessness , nor did they ",argue,its value from first principles . ,0,0,0
21,863944,Reasoning,argue.v,"It is obvious , argues Cutler , how suitable these characteristics are for the needs of bourgeois society . ","It is obvious , ",argues,"Cutler , how suitable these characteristics are for the needs of bourgeois society . ",0,1,0
22,863946,Reasoning,argue.v,But in this chapter I am going to argue just the opposite . ,But in this chapter I am going to ,argue,just the opposite . ,0,0,0
23,863955,Reasoning,argue.v,"As Community Care launches its campaign , I would argue these principles : first , abuse is wrong and a criminal offence . ","As Community Care launches its campaign , I would ",argue,"these principles : first , abuse is wrong and a criminal offence . ",0,0,0
24,863957,Reasoning,argue.v,"This traditional idealistic interpretation of abolition was , argued Williams , unconvincing on a number of counts . ","This traditional idealistic interpretation of abolition was , ",argued,"Williams , unconvincing on a number of counts . ",1,1,0
25,863971,Reasoning,argue.v,That a switch from tax to debt finance may affect the rate of capital formation has been argued by Modigliani ( 1961 ) in the context of a simple life-cycle model . ,That a switch from tax to debt finance may affect the rate of capital formation has been ,argued,by Modigliani ( 1961 ) in the context of a simple life-cycle model . ,1,0,0
26,863973,Reasoning,argue.v,"The need for this has been argued strongly by economists critical of mainstream public finance , notably in the work of Buchanan . ",The need for this has been ,argued,"strongly by economists critical of mainstream public finance , notably in the work of Buchanan . ",1,0,0
27,863979,Reasoning,argue.v,It was also argued that the ban was premature and that undeveloped nations would have their industrial development impaired as a result . ,It was also ,argued,that the ban was premature and that undeveloped nations would have their industrial development impaired as a result . ,1,1,0
28,863984,Reasoning,argue.v,It could be argued that anyone who is idiot enough to send a cheque for thousands of pounds to a salesman of shares in unquoted companies he has never heard of deserves to lose it all . ,It could be ,argued,that anyone who is idiot enough to send a cheque for thousands of pounds to a salesman of shares in unquoted companies he has never heard of deserves to lose it all . ,1,1,0
29,863996,Reasoning,argue.v,"It could certainly be argued that those values and attitudes -- fairness , change without violence , deference for order -- marked the discussions both preceding and following the 1944 Act . ",It could certainly be ,argued,"that those values and attitudes -- fairness , change without violence , deference for order -- marked the discussions both preceding and following the 1944 Act . ",1,1,0
30,864000,Reasoning,argue.v,Council planning officers argue the car park is already under-used but the statistics used as a basis for the decision relate to the pre-Cornmill shopping era . ,Council planning officers ,argue,the car park is already under-used but the statistics used as a basis for the decision relate to the pre-Cornmill shopping era . ,0,1,0
31,864006,Reasoning,argue.v,Their spokesman acknowledged the valuable role played by the Friends but argued the letters bordered on blackmail . ,Their spokesman acknowledged the valuable role played by the Friends but ,argued,the letters bordered on blackmail . ,1,1,0
32,864011,Reasoning,argue.v,He argued the congested roads and lack of parking spaces adversely affected the town 's all-important tourist industry by putting off visitors . ,He ,argued,the congested roads and lack of parking spaces adversely affected the town 's all-important tourist industry by putting off visitors . ,1,1,0
33,864018,Reasoning,argue.v,Banks argued against the changes but acknowleged the need for change and so supported the Cheque Act . ,Banks ,argued,against the changes but acknowleged the need for change and so supported the Cheque Act . ,1,0,0
34,864019,Reasoning,argue.v,But after several members argued against the closure the committee agreed to a site visit . ,But after several members ,argued,against the closure the committee agreed to a site visit . ,1,0,0
35,864032,Reasoning,argue.v,The art trade has argued effectively against this provision and now the Commission and the Portuguese Presidency acknowledge that special arrangements should be applicable to sales by public auction . ,The art trade has ,argued,effectively against this provision and now the Commission and the Portuguese Presidency acknowledge that special arrangements should be applicable to sales by public auction . ,1,0,0
36,864036,Reasoning,argue.v,Here Berkeley argued strenuously against the view that we judge the distance of objects by means of lines and angles . ,Here Berkeley ,argued,strenuously against the view that we judge the distance of objects by means of lines and angles . ,1,0,0
37,864038,Reasoning,argue.v,The Government argued before the commission last Friday that the killings were lawful -- a view already expressed at a British inquest into the deaths . ,The Government ,argued,before the commission last Friday that the killings were lawful -- a view already expressed at a British inquest into the deaths . ,1,1,0
38,864041,Reasoning,argue.v,"This was the policy that General Powell argued before George Bush when the United States invaded Panama in December 1989 , and when Iraq went into Kuwait in 1990 . ",This was the policy that General Powell ,argued,"before George Bush when the United States invaded Panama in December 1989 , and when Iraq went into Kuwait in 1990 . ",1,0,0
39,864044,Reasoning,argue.v,"The killings have been surrounded by controversy ever since , but Government lawyers were arguing before the Human Rights Commission today that a British inquest has already ruled that the deaths were ` lawful "" . ","The killings have been surrounded by controversy ever since , but Government lawyers were ",arguing,"before the Human Rights Commission today that a British inquest has already ruled that the deaths were ` lawful "" . ",1,1,0
40,864047,Reasoning,argue.v,"He is notorious in Islamabad because he argued for the cut-off in American aid to Pakistan , implemented last autumn . ",He is notorious in Islamabad because he ,argued,"for the cut-off in American aid to Pakistan , implemented last autumn . ",1,0,0
41,864054,Reasoning,argue.v,"The Thai government has ordered the border to be closed but Thai logging companies , which stand to lose by the ban , are arguing for a delay in its implementation and have intensified logging in recent weeks . ","The Thai government has ordered the border to be closed but Thai logging companies , which stand to lose by the ban , are ",arguing,for a delay in its implementation and have intensified logging in recent weeks . ,0,0,0
42,864056,Reasoning,argue.v,"Different investigators have argued for a partial dominant gene , a two-gene theory , a polygenic theory , and a combination of genes of incompatible traits . ",Different investigators have ,argued,"for a partial dominant gene , a two-gene theory , a polygenic theory , and a combination of genes of incompatible traits . ",0,0,0
43,864062,Reasoning,argue.v,The fervour has become so great that some now argue for a tightening of the Obscene Publications Act . ,The fervour has become so great that some now ,argue,for a tightening of the Obscene Publications Act . ,0,0,0
44,864070,Reasoning,argue.v,"Having argued in August that benefit extensions were unnecessary because the recession was over , the administration now backed a proposal by the Senate minority leader , Bob Dole , to extend benefits by 10 weeks . ",Having ,argued,"in August that benefit extensions were unnecessary because the recession was over , the administration now backed a proposal by the Senate minority leader , Bob Dole , to extend benefits by 10 weeks . ",0,1,0
45,864079,Reasoning,argue.v,"Sara Burstall , the headmistress of Manchester High School , argued in 1907 that mathematics had a ` hardening influence "" on femininity . ","Sara Burstall , the headmistress of Manchester High School , ",argued,"in 1907 that mathematics had a ` hardening influence "" on femininity . ",1,1,0
46,864081,Reasoning,argue.v,Jenks argued in the 1950 's that these latter policies became less relevant when set against the need to promote the systematic development of international law through the conclusion of multipartite law-making treaties . ,Jenks ,argued,in the 1950 's that these latter policies became less relevant when set against the need to promote the systematic development of international law through the conclusion of multipartite law-making treaties . ,1,1,0
47,864102,Reasoning,argue.v,"Although he never made his views public , he is believed to have argued in favour of the review group supporting some form of electoral reform . ","Although he never made his views public , he is believed to have ",argued,in favour of the review group supporting some form of electoral reform . ,0,0,0
48,864105,Reasoning,argue.v,"We have argued in favour of the tenet which underlies ( vii ) , namely that it is possible to distinguish between what the writer chooses to talk about , and how he chooses to talk about it . ",We have ,argued,"in favour of the tenet which underlies ( vii ) , namely that it is possible to distinguish between what the writer chooses to talk about , and how he chooses to talk about it . ",0,0,0
49,864120,Reasoning,argue.v,"This was certainly perceptive , and most practitioners would argue strongly for strengthening the role of the DBA . ","This was certainly perceptive , and most practitioners would ",argue,strongly for strengthening the role of the DBA . ,0,0,0
50,864124,Reasoning,argue.v,"The French government had argued in favour of "" balanced trade "" between the two blocs but at the last minute accepted this wording . ",The French government had ,argued,"in favour of "" balanced trade "" between the two blocs but at the last minute accepted this wording . ",1,0,0
51,864142,Reasoning,argue.v,"They argue , however , that marital discord ( common among the depressed sample ) added to , rather than was responsible for , the effects of maternal depression on the child . ",They ,argue,", however , that marital discord ( common among the depressed sample ) added to , rather than was responsible for , the effects of maternal depression on the child . ",0,1,0
52,864165,Reasoning,argue.v,"Christians , both Catholic and Protestant , have argued thus , as have Muslim scholars looking back to a golden age when Islamic thinkers were at the forefront of the physical sciences . ","Christians , both Catholic and Protestant , have ",argued,"thus , as have Muslim scholars looking back to a golden age when Islamic thinkers were at the forefront of the physical sciences . ",0,0,0
53,4096660,Reasoning,argue.v,"And while this claim has not yet been substantiated by IAEA inspectors , proponents argue that Iran has violated the NPT and that the country 's nuclear file should , in turn , be referred to the United Nations Security Council ( UNSC ) for its review .","And while this claim has not yet been substantiated by IAEA inspectors , proponents ",argue,"that Iran has violated the NPT and that the country 's nuclear file should , in turn , be referred to the United Nations Security Council ( UNSC ) for its review .",0,1,0
